Unnamed: 0,Name,Type,Price,Old Price,Delivery,Discount
0,Смартфон Samsung Galaxy A24 128GB Black,Смартфоны,114 990 ₸,129 990 ₸,сегодня,-12%
1,Смартфон Apple iPhone 14 128GB Midnight,Смартфоны,429 990 ₸,489 990 ₸,сегодня,-12%
2,Смартфон Apple iPhone 14 Pro 256GB Deep Purple,Смартфоны,669 990 ₸,699 990 ₸,сегодня,-4%
3,Смартфон Vivo Y17s 128/6Gb Forest Green,Смартфоны,89 990 ₸,,сегодня,0%
4,Смартфон Samsung Galaxy A14 128GB Black,Смартфоны,99 990 ₸,,сегодня,0%
5,Смартфон Samsung Galaxy A34 128GB Black,Смартфоны,149 990 ₸,189 990 ₸,сегодня,-21%
6,"Смартфон Honor X7a Plus 6+128, Midnight black",Смартфоны,84 990 ₸,,сегодня,0%
7,Смартфон Apple iPhone 14 Pro Max 128GB Deep Purple,Смартфоны,669 990 ₸,699 990 ₸,сегодня,-4%
8,Смартфон Apple iPhone 13 128GB Midnight,Смартфоны,369 990 ₸,419 990 ₸,сегодня,-12%
9,Смартфон Apple iPhone 14 Pro 256GB Space Black,Смартфоны,669 990 ₸,699 990 ₸,сегодня,-4%
10,Смартфон Apple iPhone 11 128GB Black,Смартфоны,314 990 ₸,,сегодня,0%
11,Смартфон Honor X5 Plus 64GB Midnight Black,Смартфоны,59 990 ₸,64 990 ₸,сегодня,-8%
12,Смартфон Apple iPhone 14 128GB Blue,Смартфоны,429 990 ₸,489 990 ₸,сегодня,-12%
13,Смартфон Honor 90 Lite 8+256GB Midnight Black,Смартфоны,149 990 ₸,169 990 ₸,сегодня,-12%
14,"Смартфон Honor X7a Plus 6+128, Titanium Silver",Смартфоны,84 990 ₸,,сегодня,0%
15,Смартфон GSM Samsung Galaxy S23 Ultra 256GB Black,Смартфоны,529 990 ₸,749 990 ₸,сегодня,-29%
16,Смартфон Apple iPhone 11 128GB White,Смартфоны,314 990 ₸,,сегодня,0%
17,Смартфон Honor X9b 256GB Emerald Green,Смартфоны,179 990 ₸,,сегодня,0%
18,Смартфон Honor X5 Plus 64GB Cyan Lake,Смартфоны,59 990 ₸,64 990 ₸,сегодня,-8%
19,Смартфон Vivo V29 256Gb Noble Black,Смартфоны,289 990 ₸,,сегодня,0%
20,Смартфон Apple iPhone 14 Pro 128GB Deep Purple,Смартфоны,599 990 ₸,629 990 ₸,сегодня,-5%
21,Смартфон Redmi 12C 128GB Graphite Gray,Смартфоны,69 990 ₸,,сегодня,0%
22,Смартфон Apple iPhone 14 Pro 128GB Gold,Смартфоны,599 990 ₸,629 990 ₸,сегодня,-5%
23,Смартфон Apple iPhone 14 Pro 256GB Silver,Смартфоны,669 990 ₸,699 990 ₸,сегодня,-4%
24,Смартфон OPPO A78 256GB Aqua Green,Смартфоны,149 990 ₸,,сегодня,0%
25,Смартфон Honor X6a 128GB Midnight Black,Смартфоны,74 990 ₸,79 990 ₸,сегодня,-6%
26,Смартфон Samsung Galaxy A14 128GB Silver,Смартфоны,99 990 ₸,,сегодня,0%
27,Смартфон Apple iPhone 14 128GB Starlight,Смартфоны,429 990 ₸,489 990 ₸,сегодня,-12%
28,Смартфон Apple iPhone 14 Pro 128GB Silver,Смартфоны,599 990 ₸,629 990 ₸,сегодня,-5%
29,Смартфон Apple iPhone 14 Pro Max 256GB Deep Purple,Смартфоны,749 990 ₸,769 990 ₸,сегодня,-3%
30,Смартфон Apple iPhone 11 64GB Black,Смартфоны,279 990 ₸,,сегодня,0%
31,Смартфон Vivo V27E 128Gb Glory Black,Смартфоны,169 990 ₸,199 990 ₸,сегодня,-15%
32,Смартфон Apple iPhone 15 Pro 256/8GB Natural Titanium (MTV53),Смартфоны,784 990 ₸,,сегодня,0%
33,Смартфон Samsung Galaxy A24 128GB Red,Смартфоны,114 990 ₸,129 990 ₸,сегодня,-12%
34,Смартфон Samsung Galaxy A04e 128GB Black,Смартфоны,64 990 ₸,79 990 ₸,сегодня,-19%
35,Смартфон Samsung Galaxy A34 128GB Violet,Смартфоны,149 990 ₸,189 990 ₸,сегодня,-21%
36,Смартфон Vivo Y55 128GB Ice Dawn,Смартфоны,129 990 ₸,159 990 ₸,сегодня,-19%
37,Смартфон OPPO A17k 64GB Navy Blue,Смартфоны,59 990 ₸,69 990 ₸,сегодня,-14%
38,Смартфон OPPO A38 128/4Gb Glowing Gold,Смартфоны,99 990 ₸,,сегодня,0%
39,Смартфон Apple iPhone 15 Pro 128/8GB Black Titanium (MTUV3),Смартфоны,714 990 ₸,,сегодня,0%
40,Смартфон Vivo Y35 64GB Agate Black,Смартфоны,79 990 ₸,109 990 ₸,сегодня,-27%
41,Смартфон Samsung Galaxy A34 256GB Black,Смартфоны,179 990 ₸,209 990 ₸,сегодня,-14%
42,Смартфон Apple iPhone 14 Pro Max 128GB Gold,Смартфоны,669 990 ₸,699 990 ₸,сегодня,-4%
43,Смартфон Samsung Galaxy A24 128GB Green,Смартфоны,114 990 ₸,129 990 ₸,сегодня,-12%
44,Смартфон GSM Samsung Galaxy S23 Ultra 256GB Green,Смартфоны,529 990 ₸,749 990 ₸,сегодня,-29%
45,Смартфон Vivo Y02t 128Gb Orchid Blue,Смартфоны,64 990 ₸,69 990 ₸,сегодня,-7%
46,Смартфон Poco X5 Pro 256/8GB Black,Смартфоны,179 990 ₸,,сегодня,0%
47,Смартфон Samsung Galaxy S23 128GB Black,Смартфоны,359 990 ₸,499 990 ₸,сегодня,-28%
48,Смартфон Redmi Note 12 Pro Plus 256GB Midnight Black,Смартфоны,199 990 ₸,,сегодня,0%
49,Смартфон Vivo V27E 128Gb Lively Green,Смартфоны,169 990 ₸,199 990 ₸,сегодня,-15%
50,Смартфон Redmi Note 12S 256GB/8GB Onyx Gray,Смартфоны,129 990 ₸,,сегодня,0%
51,Смартфон Samsung Galaxy A34 128GB Green,Смартфоны,149 990 ₸,189 990 ₸,сегодня,-21%
52,Смартфон Samsung Galaxy S23 Ultra 512GB Light pink,Смартфоны,579 990 ₸,819 990 ₸,сегодня,-29%
53,Смартфон Redmi Note 12 Pro 256GB/8GB Glacier Blue,Смартфоны,149 990 ₸,,сегодня,0%
54,Смартфон Vivo V29e 256Gb Rose Gold,Смартфоны,219 990 ₸,,сегодня,0%
55,Смартфон Apple iPhone 15 256GB Blue (MTP93),Смартфоны,644 990 ₸,,сегодня,0%
56,Смартфон Xiaomi 13 Lite 256GB Black,Смартфоны,219 990 ₸,,сегодня,0%
57,Смартфон Apple iPhone 15 Pro Max 1TB Natural Titanium (MU7J3),Смартфоны,1 144 990 ₸,,Delivery info not found,0%
58,Смартфон Redmi A2+ 64GB Black,Смартфоны,42 990 ₸,,сегодня,0%
59,Смартфон Redmi 12 128GB/4GB Polar Silver,Смартфоны,79 990 ₸,89 990 ₸,сегодня,-11%
60,Смартфон Redmi Note 12 256GB/8GB Mint Green,Смартфоны,109 990 ₸,,сегодня,0%
61,Смартфон Honor 90 Lite 8+256GB Cyan Lake,Смартфоны,149 990 ₸,169 990 ₸,сегодня,-12%
62,Смартфон Honor 90 8+256 Midnight Black,Смартфоны,269 990 ₸,279 990 ₸,сегодня,-4%
63,Смартфон OPPO A17k 64GB Blue,Смартфоны,59 990 ₸,69 990 ₸,сегодня,-14%
64,Смартфон Xiaomi 13T Pro 512GB/12GB Black,Смартфоны,389 990 ₸,,сегодня,0%
65,"Смартфон Honor X8a 6+128GB, Midnight Black",Смартфоны,119 990 ₸,149 990 ₸,сегодня,-20%
66,Смартфон Samsung Galaxy S21 FE 256GB Gray New,Смартфоны,299 990 ₸,389 990 ₸,сегодня,-23%
